"","GEOID","NAME","total_popE","total_popM","incomeE","incomeM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","PIE","PIM","HispE","HispM","summary_est","summary_moe","geometry","Wpercent","Bpercent","Npercent","Apercent","PIpercent","Hpercent"
"10","31109003723","Census Tract 37.23; Lancaster County; Nebraska",4033,1054,103571,4714,3584,1056,54,63,13,16,92,97,0,10,159,150,4033,1054,list(c(-96.644347, -96.644346, -96.644371, -96.644226, -96.637154, -96.628785, -96.625272, -96.625272, -96.625279, -96.625284, -96.625292, -96.639403, -96.640513, -96.644251, -96.644385, -96.644347, 40.762936, 40.766113, 40.769725, 40.76974, 40.769711, 40.769746, 40.769693, 40.769612, 40.761234, 40.758792, 40.755264, 40.755144, 40.754436, 40.75632, 40.756362, 40.762936)),88.866848499876,1.33895363253161,0.322340689313166,2.28118026283164,0,3.94247458467642
"11","31109001101","Census Tract 11.01; Lancaster County; Nebraska",4619,410,95601,14434,3838,397,28,32,0,10,0,10,0,10,571,246,4619,410,list(c(-96.630396, -96.624912, -96.624873, -96.624873, -96.61889, -96.605793, -96.605912, -96.605933, -96.619012, -96.620719, -96.630384, -96.630432, -96.630396, 40.842493, 40.842452, 40.851267, 40.851498, 40.8514, 40.851578, 40.8426, 40.835308, 40.835212, 40.8352, 40.835202, 40.835202, 40.842493)),83.0915782636934,0.606191816410478,0,0,0,12.361983113228
"12","31109002002","Census Tract 20.02; Lancaster County; Nebraska",2843,408,33517,4282,1635,348,285,184,0,10,34,39,0,10,729,266,2843,408,list(c(-96.708541, -96.708514, -96.708502, -96.707024, -96.702627, -96.702565, -96.702589, -96.702604, -96.702635, -96.7071, -96.708581, -96.708541, 40.803666, 40.806956, 40.809212, 40.809208, 40.809198, 40.809198, 40.805846, 40.803646, 40.799198, 40.799214, 40.79922, 40.803666)),57.5096728807598,10.0246218782976,0,1.19591980302497,0,25.6419275413296
"13","31109002001","Census Tract 20.01; Lancaster County; Nebraska",2467,301,32721,6304,1460,251,162,76,14,18,88,75,0,10,641,232,2467,301,list(c(-96.702604, -96.702589, -96.702565, -96.696769, -96.696788, -96.696805, -96.69684, -96.701399, -96.702635, -96.702604, 40.803646, 40.805846, 40.809198, 40.809176, 40.805821, 40.803629, 40.799179, 40.799194, 40.799198, 40.803646)),59.1811917308472,6.56668017835428,0.567490879610863,3.56708552898257,0,25.9829752736117
"14","31109003002","Census Tract 30.02; Lancaster County; Nebraska",3279,423,47383,9237,2134,435,287,189,20,30,177,192,0,10,304,189,3279,423,list(c(-96.713168, -96.710676, -96.707933, -96.701075, -96.701104, -96.701106, -96.701146, -96.701212, -96.701313, -96.70773, -96.712165, -96.71214, -96.712081, -96.712241, -96.713168, 40.855151, 40.855711, 40.857305, 40.857282, 40.850585, 40.850173, 40.847429, 40.842892, 40.83413, 40.831701, 40.828701, 40.833683, 40.842967, 40.850757, 40.855151)),65.0808173223544,8.75266849649283,0.609942055504727,5.39798719121683,0,9.27111924367185
"15","31109003716","Census Tract 37.16; Lancaster County; Nebraska",5115,661,106285,10295,4277,664,47,40,10,14,177,119,0,15,278,160,5115,661,list(c(-96.682528, -96.677378, -96.673746, -96.663422, -96.663428, -96.663428, -96.663444, -96.672972, -96.682519, -96.682522, -96.682525, -96.682528, 40.739568, 40.740827, 40.740884, 40.740815, 40.732964, 40.732911, 40.726317, 40.726559, 40.726403, 40.730331, 40.734673, 40.739568)),83.6168132942327,0.918866080156403,0.195503421309873,3.46041055718475,0,5.43499511241447
"16","31109001102","Census Tract 11.02; Lancaster County; Nebraska",3314,500,77708,9002,2758,441,108,124,0,10,101,81,0,10,105,84,3314,500,list(c(-96.630412, -96.630384, -96.620719, -96.619012, -96.605933, -96.605949, -96.615457, -96.621295, -96.624992, -96.630448, -96.630412, 40.832104, 40.835202, 40.8352, 40.835212, 40.835308, 40.828009, 40.827958, 40.827921, 40.827898, 40.827933, 40.832104)),83.2226916113458,3.25890162945081,0,3.04767652383826,0,3.16837658418829
"17","31109003301","Census Tract 33.01; Lancaster County; Nebraska",3877,425,54537,5746,3376,425,14,21,0,10,175,145,17,28,219,126,3877,425,list(c(-96.756483, -96.754939, -96.754466, -96.752999, -96.745845, -96.744768, -96.737459, -96.73197, -96.730462, -96.720401, -96.71214, -96.712165, -96.716597, -96.717561, -96.718173, -96.722808, -96.723116, -96.733089, -96.733667, -96.733859, -96.735648, -96.753283, -96.753726, -96.755126, -96.756483, 40.817626, 40.818794, 40.819316, 40.821416, 40.83182, 40.831195, 40.830079, 40.829674, 40.829793, 40.831928, 40.833683, 40.828701, 40.825907, 40.824535, 40.821258, 40.816785, 40.813711, 40.813774, 
40.813079, 40.812916, 40.811798, 40.809953, 40.810608, 40.813822, 40.817626)),87.0776373484653,0.361103946350271,0,4.51379932937839,0.438483363425329,5.64869744647924
"18","31109001002","Census Tract 10.02; Lancaster County; Nebraska",1910,308,48620,10177,1350,261,150,178,0,10,146,134,0,10,129,74,1910,308,list(c(-96.653663, -96.646534, -96.644145, -96.635267, -96.641082, -96.641825, -96.648828, -96.653628, -96.653663, 40.820699, 40.820711, 40.820707, 40.820657, 40.816622, 40.813475, 40.81351, 40.813528, 40.820699)),70.6806282722513,7.85340314136126,0,7.64397905759162,0,6.75392670157068
